address,blockchain,name,category,comment
0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245,polygon,Binance Hot Wallet,cex,
0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,polygon,Stargate Finance: Router,cex,
0x176f3dab24a159341c0509bb36b833e7fdd0a132,ethereum,Justin Sun,Individual,
0x3DdfA8eC3052539b6C9549F12cEA2C295cfF5296,ethereum,Justin Sun 2,Individual,
9uyDy9VDBw4K7xoSkhmCAm8NAFCwu4pkF6JeHUCtVKcX,solana,Alameda Research,fund,https://twitter.com/AnonNgmi/status/1594649050351026176
32dPa6uuYNMFLszYFZiavGgXiPdRcQbR7Z,bitcoin,Union Bank of the Phillipines,bank,
0xe25a329d385f77df5d4ed56265babe2b99a5436e,ethereum,BUSD Mint and Burn,token,
0x5e6161010f13427c31d8df53cb0c4f9877057671,ethereum,Received Big from Sun Yuchen and Justin Sun,individual,https://twitter.com/mama_mandela/status/1583413443675422720
0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,ethereum,Justin Sun,individual,etherscan tag
0x6be85603322df6dc66163ef5f82a9c6ffbc5e894,ethereum,Bo Shen,individual,wallet hacked 2022-11-10
0xc5a8859c44ac8aa2169afacf45b87c08593bec10,ethereum,Cool Cats NFT???,nft,
0x500A746c9a44f68Fe6AA86a92e7B3AF4F322Ae66,ethereum,Voyager,cefi,Received 50K Eth from FTX
12qA97T8hsDgvVoRCXGZifd9PCraqvd2DW,bitcoin,Voyager (rumored),cefi,
0xfAc87e892800F73feA9bD4a81B4E0269f4363fE3,ethereum,Voyager Hot Wallet,cefi,
0xad6eaa735d9df3d7696fd03984379dae02ed8862,ethereum,Cumberland,cex,
bnb1xrfwzlu9c5208lhtn7ywt0mjrhjh4nt4fjyqxy,binance_smart_chain,Binance,cex,
0xF9623Fe14733B3EF4F102626a219c9e89A5B5AaE,ethereum,binance,cex,Moved $1.7B to Binance US
0x03aE1A796DFE0400439211133D065BDA774B9D3e,ethereum,okx?,cex,Moved $1.7B to OKX in 2022
1ECUQLuioJbFZAQchcZq9pggd4EwcpuANe,bitcoin,Quadriga?,cex,https://twitter.com/zachxbt/status/1604953664719683585
1J9Fqc3TicNoy1Y7tgmhQznWrP5AVLXj9R,bitcoin,Quadriga?,cex,https://twitter.com/zachxbt/status/1604953664719683585
1MhgmGaHwLAvvKVyFvy6zy9pRQFXaxwE9M,bitcoin,Quadriga?,cex,https://twitter.com/zachxbt/status/1604953664719683585
1HyYMMCdCcHnfjwMW2jE4cv9qVkVDFUzVa,bitcoin,Quadriga?,cex,https://twitter.com/zachxbt/status/1604953664719683585
1JPtxSGoekZfLQeYAWkbhBhkr2VEDADHZB,bitcoin,Quadriga?,cex,https://twitter.com/zachxbt/status/1604953664719683585
0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,ethereum,Symbolic Capital Partners: Arbitrage,cefi,
0x56178a0d5F301bAf6CF3e1Cd53d9863437345Bf9,ethereum,Symbolic Capital Partners: Market Maker,cefi,
0xFA103c21ea2DF71DFb92B0652F8B1D795e51cdEf,ethereum,Symbolic Capital Partners: CEX Bridge,cefi,
0x3229149012a035eF51D724e0343Eb31Ce3e4Bb7D,ethereum,Symbolic Capital Partners: Binance Deposit,cefi,
bc1q67r2dc46ve66pe2qr9smaz5ktzefehugky5sv6,bitcoin,Alameda swaps?,cefi,https://twitter.com/zachxbt/status/1607915930440302592
bc1qk4mnz4qkh9vfcm95z6ww9czhzjsknjr8s457mg,bitcoin,Alameda swaps?,cefi,https://twitter.com/zachxbt/status/1607915930440302592
bc1qwx3herf245w6k9ljjfgdsngtvjsp3qs6znp8dd,bitcoin,Alameda swaps?,cefi,https://twitter.com/zachxbt/status/1607915930440302592
bc1q7p22k0ly0pmy04ermzu76uyylveehu9cusrcnp,bitcoin,Alameda swaps?,cefi,https://twitter.com/zachxbt/status/1607915930440302592
